2017,Академический,212500.0
2017,Алексеевский,221304.426133549462
2017,Алтуфьевский,132394.366197183099
2017,Арбат,499923.571428571429
2017,Аэропорт,221516.307692307692
2017,Бабушкинский,165277.777777777778
2017,Басманный,272826.376004947434
2017,Беговой,233333.333333333333
2017,Бескудниковский,160029.896667827702
2017,Бибирево,148076.923076923077
2017,Бирюлёво Восточное,127848.31561461794
2017,Бирюлёво Западное,118750.0
2017,Богородское,177419.354838709677
2017,Братеево,143951.219512195122
2017,Бутырский,181909.090909090909
2017,Вешняки,136610.169491525424
2017,Внуково,104379.795396419438
2017,Войковский,190818.181818181818
2017,Восточное Дегунино,144690.248853469664
2017,Восточное Измайлово,158916.340508806263
2017,Восточный,112060.606060606061
2017,Выхино-Жулебино,138888.878968253969
2017,Гагаринский,273667.452830188679
2017,Головинский,163141.683778234086
2017,Гольяново,137221.269296740995
2017,городской округ Троицк,103400.115584665768
2017,городской округ Щербинка,97948.717948717949
2017,Даниловский,202994.004258746043
2017,Дмитровский,138412.265242338014
2017,Донской,254385.964912280702
2017,Дорогомилово,270440.251572327044
2017,Замоскворечье,406060.606060606061
2017,Западное Дегунино,143573.513513513514
2017,Зюзино,182474.220831885066
2017,Зябликово,145555.555555555556
2017,Ивановское,140211.640211640212
2017,Измайлово,170454.545454545455
2017,Капотня,115606.936416184971
2017,Коньково,176163.419913419913
2017,Коптево,167103.545417067473
2017,Косино-Ухтомский,137075.718015665796
2017,Котловка,175368.13922356091
2017,Красносельский,261111.111111111111
2017,Крылатское,201936.468823655453
2017,Крюково,99534.883720930233
2017,Кузьминки,152777.777777777778
2017,Кунцево,200261.780104712042
2017,Куркино,179393.944065862909
2017,Левобережный,168348.442347741086
2017,Лефортово,180000.0
2017,Лианозово,154411.764705882353
2017,Ломоносовский,233134.744135961422
2017,Лосиноостровский,149614.81564356928
2017,Люблино,144482.142857142857
2017,Марфино,188734.375
2017,Марьина Роща,203594.886230354211
2017,Марьино,149122.80701754386
2017,Матушкино,114035.087719298246
2017,Метрогородок,144000.0
2017,Мещанский,265773.180679082109
2017,Митино,148000.0
2017,Можайский,165974.343122102009
2017,Молжаниновский,100000.0
2017,Москворечье-Сабурово,163157.894736842105
2017,Нагатино-Садовники,179687.5
2017,Нагатинский Затон,184208.708791208791
2017,Нагорный,183908.045977011494
2017,Некрасовка,105339.653846153846
2017,Нижегородский,160928.520114942529
2017,Новогиреево,158139.53488372093
2017,Новокосино,139734.808570425009
2017,Ново-Переделкино,135483.870967741935
2017,Обручевский,221121.140763997907
2017,Орехово-Борисово Северное,153703.703703703704
2017,Орехово-Борисово Южное,136924.324324324324
2017,Останкинский,169330.233766233766
2017,Отрадное,153957.8111946533
2017,Очаково-Матвеевское,176363.636363636364
2017,Перово,153846.153846153846
2017,Печатники,146137.038461538462
2017,Покровское-Стрешнево,156078.43137254902
2017,поселение Внуковское,125000.0
2017,поселение Вороновское,85106.382978723404
2017,поселение Воскресенское,107866.605062274006
2017,поселение Десёновское,97690.941385435169
2017,поселение Киевский,86515.151515151516
2017,поселение Клёновское,72285.04373799872
2017,поселение Кокошкино,94318.181818181818
2017,поселение Краснопахорское,87682.806324110672
2017,поселение Марушкинское,80033.240997229917
2017,поселение Михайлово-Ярцевское,83729.946524064171
2017,поселение Московский,117371.428571428571
2017,"поселение ""Мосрентген""",98764.705882352941
2017,поселение Новофёдоровское,63137.142857142857
2017,поселение Первомайское,90000.0
2017,поселение Роговское,62037.037037037037
2017,поселение Рязановское,99236.641221374046
2017,поселение Сосенское,105000.0
2017,поселение Филимонковское,89375.0
2017,поселение Щаповское,79365.079365079365
2017,Преображенское,193118.686868686869
2017,Пресненский,340000.0
2017,Проспект Вернадского,255202.702702702703
2017,Раменки,306122.448979591837
2017,Ростокино,179218.303145853194
2017,Рязанский,148916.081265153785
2017,Савёлки,118518.518518518519
2017,Савёловский,190909.090909090909
2017,Свиблово,202667.140825035562
2017,Северное Бутово,141025.641025641026
2017,Северное Измайлово,151190.47619047619
2017,Северное Медведково,159550.561797752809
2017,Северное Тушино,158196.20253164557
2017,Северный,109262.048872180452
2017,Силино,112500.0
2017,Сокол,224316.334072431633
2017,Соколиная Гора,167185.861886842279
2017,Сокольники,220588.235294117647
2017,Солнцево,122077.922077922078
2017,Старое Крюково,115151.515151515152
2017,Строгино,183666.00790513834
2017,Таганский,245057.812104912305
2017,Тверской,389134.438305709024
2017,Текстильщики,151515.151515151515
2017,Тёплый Стан,171875.0
2017,Тимирязевский,208372.093023255814
2017,Тропарёво-Никулино,202755.905511811024
2017,Филёвский Парк,219957.081545064378
2017,Фили-Давыдково,205527.777777777778
2017,Хамовники,489565.217391304348
2017,Ховрино,160000.0
2017,Хорошёво-Мнёвники,204089.491525423729
2017,Хорошёвский,244360.070422535211
2017,Царицыно,150000.0
2017,Черёмушки,211538.461538461538
2017,Чертаново Северное,165384.615384615385
2017,Чертаново Центральное,155555.555555555556
2017,Чертаново Южное,147864.741641337386
2017,Щукино,205694.022289766971
2017,Южное Бутово,126666.666666666667
2017,Южное Медведково,152500.0
2017,Южное Тушино,165775.401069518717
2017,Южнопортовый,192682.926829268293
2017,Якиманка,490196.078431372549
2017,Ярославский,139900.0
2017,Ясенево,154545.454545454545
2018,Академический,226026.744186046512
2018,Алексеевский,224885.215946843854
2018,Алтуфьевский,144259.90675990676
2018,Арбат,359558.823529411765
2018,Аэропорт,220806.277056277056
2018,Бабушкинский,159817.351598173516
2018,Басманный,247806.068122314505
2018,Беговой,247058.823529411765
2018,Бескудниковский,162500.0
